smiles,gap
CCN1C2C3OC2C13,0.2855
c1[nH]c2c([nH]nc2n1)N,0.2103
COc1[nH]nc(n1)N,0.2472
CC(C)C(=NO)C(C)C,0.257
CC1C2CCC1(C)C2O,0.3312
O=COCC(C=O)C#C,0.2208
C1C23OC=NC12C1OC31,0.2144
c1cc(c(c(c1)N)N)N,0.2124
CC1(C#N)C2NC(=O)C12,0.2375
C1CC(C1)C2(CCC2)O,0.3196
CC12C3C4C(C14O)C23O,0.2827
Cn1cc(c(c1)O)O,0.2319
CC1CC(=O)COCO1,0.2179
Cc1[nH]c(cn1)CC#C,0.2416
COc1c2n(nn1)CC2,0.2255
Cc1c(c([nH]n1)O)NC,0.2534
N=C1OC(C#N)C2CC12,0.2745
c1c(c(oc(=O)n1)F)N,0.1559
CCNC(=O)C1CC1O,0.253
CCc1ccnc(n1)O,0.2147
CC1=C(NC=N1)C1CO1,0.2342
O=C1NC(C#N)C2CN12,0.2766
N=C1OCC2CC3C2N13,0.2712
CC(=O)C1CCOC1,0.2312
N=C1CC(=O)CN1C=O,0.1998
C#CCC1(CN1)C#C,0.2812
C#CCCN(C=O)C=O,0.2153
OC12C=CC3CC1C23,0.2367
Cc1c(c[nH]c1C#N)N,0.1862
CC1CC1(O)C1CO1,0.3239
CCC12OC3CC1CC23,0.3216
CC1CC=CCC11CO1,0.2686
FC1=NC(=N)N=C(F)O1,0.2361
C1C2CC3(CC4NC34)N12,0.3041
c1cn2c(n1)CCC2,0.2512
O=C1CCC2(CCO2)C1,0.2204
N1C=CN=CC=CN=C1,0.1777
COC1OC(=O)C=C1C,0.2229
CC12CC(C)(C1)OCO2,0.3247
OC12COC1C(=O)C=C2,0.1748
CC12CN1CC1OC21C,0.2948
OC1C(O)C2OCOC12,0.2931
CC1C2CC2C2COC12,0.318
Cc1c(c(n[nH]1)C)C=O,0.2071
CC12CC(C1)C2C(N)=O,0.2664
CC12CC3NC3(C)C1N2,0.3203
C#CCc1cc[nH]c1N,0.2363
c1nc(nnn1)O,0.1675
CC(O)C(CCO)C#N,0.3117
C#CCC1(CC1)C#N,0.3005
NC1=CC(=O)C2CC1O2,0.187
CC12CC(O)C(O)C1N2,0.2874
CC1OCC(C)(C)C1O,0.3045
CC1NC1(C=O)C1CC1,0.2186
C1CC(=NCCO)OC1,0.2596
CN1CC(O)C1=O,0.2678
N=C1NN=CN=CC1=O,0.1412
OCC12C3C4CC1C4N23,0.3057
CC(C)C12CC1(C)CO2,0.3027
c12c(n[nH]c1[nH]nn2)N,0.2007
OC1C(COC1=O)C=O,0.2273
COC(=O)CCC1CO1,0.2829
C1C2CC(C12)C1CCO1,0.3256
C1CC2CCC3OC23C1,0.3296
CC12OC3C4C(CC14)C23,0.3183
CC12CC1C1OCC1C2,0.3155
CCN=C1N=CNN=N1,0.165
N=CN1CC1(C=O)C#C,0.2102
CN(CCOC=N)C=O,0.2678
CC(O)C1N2CCC12C,0.2966
CC12C3C(N=CN13)C2=O,0.1988
CN1CCCC(O)C1=O,0.2605
c1cn(cn1)C=O,0.1969
OC1C2CC1C21CO1,0.312
C#CC1OC2CC1CO2,0.2836
COC1C2OC(=O)OC12,0.3065
CC1C2N3CC3C12C#N,0.2467
N#CC1CC2C3CC2C13,0.3425
C1C2C3C=CC1C1C3N21,0.2453
O=CCC12CC1CC=C2,0.2141
COC1CC2C(O)C2O1,0.2961
CN=COCCOC,0.277
N#CC1CC(C1)C#N,0.3194
OCC1OC(CO)C=C1,0.2413
O=COC(CC#N)C#N,0.2801
c1c(nc(c(n1)N)O)F,0.1748
CN1CC(=N)N(C)C1=O,0.2435
CC1NC1(CC=O)C#C,0.2179
O=C1CCC2OCC2O1,0.2734
CC1(C)CC(O)C2CN12,0.2972
CC1(O)C2C3NC3C12,0.2729
C(CO)c1c(non1)N,0.2122
OCC1NCC1=O,0.2163
CCC1OC(=NC)C1C,0.278
OCC1CCN2CC2C1,0.2891
CC12C3C4CC1(O)C2C34,0.2837
CC1COCC=C1C#C,0.2108
CC1CC2(CC2O)C1O,0.3049
CN=COc1cocn1,0.2198
CC(=O)C1(CN1)C#N,0.2327
ON=C1C2C3CC1CC23,0.2498
CC12OC(=N)C1C1NC21,0.2693
C#Cc1ccnc(c1)F,0.2052
O=C1C2COC2C11CO1,0.1954
CC(=O)NCC(=O)C#N,0.1629
OC1C2CN2C(=O)C1=O,0.1487
O=C1OCC2C(C#C)C12,0.2619
CCc1c(nn[nH]1)OC,0.2172
C#CC(=NO)CC1CC1,0.2065
OC12CC1C(O)(C2)C#N,0.2886
c1[nH]c(c(n1)N)O,0.2385
NC1=C(O)N=NNC1=O,0.1578
CCN1CC(N)C1C#N,0.2544
CC(=O)n1nc(nn1)O,0.1994
CCC1(O)COC1C#C,0.2703
c1c([nH]cn1)C2CCC2,0.2454
OC1CCCC11CCO1,0.2995
CC(C)C1C(C)C1(C)O,0.3095
CC1=CC(C)(O)CC1=O,0.1954
CC1C2(O)CC1(O)C=C2,0.2401
C1CC2OC1CC1OC21,0.3279
C1CC23OC2CNC3=N1,0.2422
CC1=C(C)C(CO)CC1,0.2534
CC1(C)CC1C1CCC1,0.335
c1coc2c1CC=C2,0.1794
CC1=C2NCC2OC1=O,0.2003
CC12C3C4C=C1CC4N23,0.1222
CCC1(NC1C#C)C#C,0.2544
CC12CC3C(O)C(C1)N23,0.2804
CC1(CN1)C1=CC=CO1,0.2297
C1C(CO1)(C(=O)N)N,0.2625
CC(C=O)C1NC1C=O,0.2214
C#CC1NC1CC1CC1,0.28
OC1C2C1C1OCC21,0.3043
CN=C1OC(C)CC1C,0.2721
CC1CN=C(C1)OC=O,0.2426
OC1CC11CC2CC12,0.3043
COC1OCC=CC=C1,0.1916
OCC12CCC3C1CC23,0.3369
OC1C2C3CC1CN23,0.3027
CC12OC3(C)C1CC23,0.3192
CC12CC3(C)C1CN23,0.3202
OCC1=NON=NC1=N,0.1754
CN=C1OC(C)OC1=O,0.1974
CC12CN1C(=O)C1CC21,0.2352
CNc1c(n[nH]c1O)N,0.2542
Cc1ccc(c(=O)[nH]1)F,0.1774
CC12NCC1C2(N)C#N,0.2661
CC12NC3C(C1=O)C23O,0.2275
ON=C1CC2C(O)C12,0.2438
OC12COC1C1COC21,0.2875
CCc1ccccc1,0.241
CC1NC(=O)C1(N)C#C,0.258
CC12C3CC1(CN23)C#C,0.2619
CC1COC(=N)C2NC12,0.2637
CCC1C2COC(C)C12,0.3229
OC1C2CC1(O)CC2O,0.3162
CN(C)C(=O)NCC#N,0.2646
C(C#N)N=C(C#N)N,0.2242
CC#CCc1cc[nH]c1,0.2504
CC12C3CC1(NC23)C#N,0.2522
FC(F)(F)C1(CN1)C=O,0.2263
CC12C3CC=C1COC23,0.1997
O=C1OC2COC12C#N,0.2354
c1c[nH]c(=O)cc1F,0.1857
CC12CC3(C)C1CC23O,0.3177
O=CC(CN1CC1)C#C,0.2128
O=C1C2CC3(C2)OCC13,0.222
N=C1NC=NC11COC1,0.2194
CC(O)C1CNC(=O)O1,0.3134
c1c-2n[nH]nnc2cn1,0.1295
CN=C1OCC2C1N2C,0.251
CC(C#N)N1CCC1,0.2676
CC1OC11C2NC1C=C2,0.2233
CCC1(CCO1)C(C)=O,0.2159
CC1NC(=O)NC1(C)C,0.306
CC(=O)N1CC(C1)(C)C,0.2684
CCC(=O)C1(CN1)C#C,0.2241
